faculty_name,department_name,course_code,course_url
Faculty of Arts,Communication Studies,CS600,https://academic-calendar.wlu.ca/course.php?c=81329&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS601,https://academic-calendar.wlu.ca/course.php?c=81330&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS602,https://academic-calendar.wlu.ca/course.php?c=81350&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS603,https://academic-calendar.wlu.ca/course.php?c=81351&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS604,https://academic-calendar.wlu.ca/course.php?c=81352&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS605,https://academic-calendar.wlu.ca/course.php?c=81353&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS610,https://academic-calendar.wlu.ca/course.php?c=81331&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS611,https://academic-calendar.wlu.ca/course.php?c=81332&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS613,https://academic-calendar.wlu.ca/course.php?c=81333&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS615,https://academic-calendar.wlu.ca/course.php?c=81334&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS616,https://academic-calendar.wlu.ca/course.php?c=81335&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS617,https://academic-calendar.wlu.ca/course.php?c=81336&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS618,https://academic-calendar.wlu.ca/course.php?c=81337&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS620,https://academic-calendar.wlu.ca/course.php?c=81338&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS621,https://academic-calendar.wlu.ca/course.php?c=81339&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS640,https://academic-calendar.wlu.ca/course.php?c=81349&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS650,https://academic-calendar.wlu.ca/course.php?c=81340&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS651,https://academic-calendar.wlu.ca/course.php?c=81341&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS652,https://academic-calendar.wlu.ca/course.php?c=81342&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS653,https://academic-calendar.wlu.ca/course.php?c=81343&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS655,https://academic-calendar.wlu.ca/course.php?c=81344&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS656,https://academic-calendar.wlu.ca/course.php?c=81345&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS690,https://academic-calendar.wlu.ca/course.php?c=81346&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS695,https://academic-calendar.wlu.ca/course.php?c=81347&cal=3&d=3337&s=1190&y=94
Faculty of Arts,Communication Studies,CS699,https://academic-calendar.wlu.ca/course.php?c=81348&cal=3&d=3337&s=1190&y=94
