faculty_name,department_name,department_url
Faculty of Arts,Communication Studies,https://academic-calendar.wlu.ca/department.php?cal=3&d=3337&s=1190&y=94
Faculty of Arts,Cultural Analysis and Social Theory,https://academic-calendar.wlu.ca/department.php?cal=3&d=3336&s=1190&y=94
Faculty of Arts,English and Film Studies,https://academic-calendar.wlu.ca/department.php?cal=3&d=3330&s=1190&y=94
Faculty of Arts,History,https://academic-calendar.wlu.ca/department.php?cal=3&d=3331&s=1190&y=94
Faculty of Arts,Philosophy,https://academic-calendar.wlu.ca/department.php?cal=3&d=3332&s=1190&y=94
Faculty of Arts,Political Science,https://academic-calendar.wlu.ca/department.php?cal=3&d=3333&s=1190&y=94
Faculty of Arts,Religion and Culture,https://academic-calendar.wlu.ca/department.php?cal=3&d=3334&s=1190&y=94
Faculty of Arts,Sociology,https://academic-calendar.wlu.ca/department.php?cal=3&d=3335&s=1190&y=94
Faculty of Education,Education,https://academic-calendar.wlu.ca/department.php?cal=3&d=3348&s=1199&y=94
Faculty of Education,Educational Studies,https://academic-calendar.wlu.ca/department.php?cal=3&d=3353&s=1199&y=94
Faculty of Human and Social Sciences,Criminology,https://academic-calendar.wlu.ca/department.php?cal=3&d=3351&s=1201&y=94
Faculty of Human and Social Sciences,Public Safety,https://academic-calendar.wlu.ca/department.php?cal=3&d=3352&s=1201&y=94
Faculty of Liberal Arts,Social Justice and Community Engagement,https://academic-calendar.wlu.ca/department.php?cal=3&d=3350&s=1200&y=94
Faculty of Liberal Arts,User Experience Design,https://academic-calendar.wlu.ca/department.php?cal=3&d=3349&s=1200&y=94
Faculty of Music,"Collaboration, Curation, and Creative Performance",https://academic-calendar.wlu.ca/department.php?cal=3&d=3340&s=1192&y=94
Faculty of Music,Community Music,https://academic-calendar.wlu.ca/department.php?cal=3&d=3343&s=1192&y=94
Faculty of Music,Music,https://academic-calendar.wlu.ca/department.php?cal=3&d=3341&s=1192&y=94
Faculty of Music,Music Therapy,https://academic-calendar.wlu.ca/department.php?cal=3&d=3342&s=1192&y=94
Faculty of Science,Biological and Chemical Sciences,https://academic-calendar.wlu.ca/department.php?cal=3&d=3326&s=1186&y=94
Faculty of Science,Biology,https://academic-calendar.wlu.ca/department.php?cal=3&d=3324&s=1186&y=94
Faculty of Science,Chemistry and Biochemistry,https://academic-calendar.wlu.ca/department.php?cal=3&d=3325&s=1186&y=94
Faculty of Science,Geography and Environmental Studies,https://academic-calendar.wlu.ca/department.php?cal=3&d=3328&s=1186&y=94
Faculty of Science,Health Sciences,https://academic-calendar.wlu.ca/department.php?cal=3&d=3329&s=1186&y=94
Faculty of Science,Kinesiology and Physical Education,https://academic-calendar.wlu.ca/department.php?cal=3&d=3323&s=1186&y=94
Faculty of Science,Mathematics,https://academic-calendar.wlu.ca/department.php?cal=3&d=3322&s=1186&y=94
Faculty of Science,Physics and Computer Science,https://academic-calendar.wlu.ca/department.php?cal=3&d=3327&s=1186&y=94
Faculty of Science,Psychology,https://academic-calendar.wlu.ca/department.php?cal=3&d=3321&s=1186&y=94
Lazaridis School of Business and Economics,Business,https://academic-calendar.wlu.ca/department.php?cal=3&d=3338&s=1191&y=94
Lazaridis School of Business and Economics,Economics,https://academic-calendar.wlu.ca/department.php?cal=3&d=3339&s=1191&y=94
Lyle S. Hallman Faculty of Social Work,Social Work,https://academic-calendar.wlu.ca/department.php?cal=3&d=3344&s=1193&y=94
School of International Policy and Governance,Global Governance,https://academic-calendar.wlu.ca/department.php?cal=3&d=3347&s=1198&y=94
School of International Policy and Governance,International Public Policy,https://academic-calendar.wlu.ca/department.php?cal=3&d=3346&s=1198&y=94
Martin Luther University College,Martin Luther University College,https://academic-calendar.wlu.ca/department.php?cal=3&d=3345&s=1194&y=94
