faculty_name,url
Faculty of Arts,https://academic-calendar.wlu.ca/section.php?cal=3&s=1190&y=94
Faculty of Education,https://academic-calendar.wlu.ca/section.php?cal=3&s=1199&y=94
Faculty of Human and Social Sciences,https://academic-calendar.wlu.ca/section.php?cal=3&s=1201&y=94
Faculty of Liberal Arts,https://academic-calendar.wlu.ca/section.php?cal=3&s=1200&y=94
Faculty of Music,https://academic-calendar.wlu.ca/section.php?cal=3&s=1192&y=94
Faculty of Science,https://academic-calendar.wlu.ca/section.php?cal=3&s=1186&y=94
Lazaridis School of Business and Economics,https://academic-calendar.wlu.ca/section.php?cal=3&s=1191&y=94
Lyle S. Hallman Faculty of Social Work,https://academic-calendar.wlu.ca/section.php?cal=3&s=1193&y=94
School of International Policy and Governance,https://academic-calendar.wlu.ca/section.php?cal=3&s=1198&y=94
Martin Luther University College,https://academic-calendar.wlu.ca/section.php?cal=3&s=1194&y=94
