faculty_name,department_name,member_name,profile_url
Faculty of Arts,Dean of Arts Office,Sofie Lachapelle,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/sofie-lachapelle/index.html
Faculty of Arts,"Dean of Arts Office | History, Ancient Studies | Religion and Culture",Gavin Brockett,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/gavin-brockett/index.html
Faculty of Arts,Dean of Arts Office | Political Science,Patricia Goff,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/patricia-goff/index.html
Faculty of Arts,Dean of Arts Office | Political Science,Jason Roy,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/jason-roy/index.html
Faculty of Arts,Anthropology,André Czegledy,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/andre-czegledy/index.html
Faculty of Arts,Anthropology | Cultural Analysis and Social Theory,Natasha Pravaz,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/natasha-pravaz/index.html
Faculty of Arts,Anthropology | Global Studies,Tanya Richardson,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/tanya-richardson/index.html
Faculty of Arts,Anthropology,Christina Woolner,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/christina-woolner/index.html
Faculty of Arts,Archaeology and Heritage Studies,Creighton Avery,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/creighton-avery/index.html
Faculty of Arts,Archaeology and Heritage Studies,Scott Gallimore,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/scott-gallimore/index.html
Faculty of Arts,"Communication Studies, and Cultural Studies | Women and Gender Studies",Alexandra Boutros,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/alexandra-boutros/index.html
Faculty of Arts,"Communication Studies, and Cultural Studies",Shaunasea Brown,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/shaunasea-brown/index.html
Faculty of Arts,"Communication Studies, and Cultural Studies",Colleen Daniher,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/colleen-daniher/index.html
Faculty of Arts,"Communication Studies, and Cultural Studies",Greig de Peuter,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/greig-de-peuter/index.html
Faculty of Arts,"Communication Studies, and Cultural Studies",Elin Edwards,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/elin-edwards/index.html
Faculty of Arts,"Communication Studies, and Cultural Studies",Jonathan Finn,https://www.wlu.ca/academics/faculties/faculty-of-arts/faculty-profiles/jonathan-finn/index.html
