program_name,program_url
Master of Applied Computing,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=67&y=94
Master of Applied Politics,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=56&y=94
Master of Arts,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=8&y=94
Master of Business Administration,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=10&y=94
Master of Divinity,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=19&y=94
Master of Divinity - Master of Social Work,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=22&y=94
Master of Education,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=47&y=94
Master of Environmental Studies in Geography,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=12&y=94
Master of Finance,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=41&y=94
Master of International Public Policy,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=39&y=94
Master of Music Therapy,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=13&y=94
Master of Science,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=14&y=94
Master of Social Work,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=15&y=94
Master of Arts in Theology/Master of Divinity,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=58&y=94
Master of Public Safety,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=74&y=94
Master of Theological Studies/Master of Social Work,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=23&y=94
Doctor of Philosophy,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=16&y=94
Diploma in Theology,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=17&y=94
Diploma in Spiritual Care and Psychotherapy,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=57&y=94
Graduate Diploma,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=65&y=94
Master of Computer Science,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=75&y=94
Master of Finance/Master of Science in Management Analytics,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=77&y=94
Master of Music,https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=78&y=94
Graduate Diploma (Type 1),https://academic-calendar.wlu.ca/search.php?cal=3&s_items=departments+programs&s_pdt=83&y=94
