faculty_name,department_name,course_code,course_url
Faculty of Arts,Interdisciplinary Course Offerings,IP300,https://academic-calendar.wlu.ca/course.php?c=74967&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,MUST101,https://academic-calendar.wlu.ca/course.php?c=77976&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,SP263,https://academic-calendar.wlu.ca/course.php?c=77730&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU100,https://academic-calendar.wlu.ca/course.php?c=74971&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU101,https://academic-calendar.wlu.ca/course.php?c=74965&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU150,https://academic-calendar.wlu.ca/course.php?c=74966&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU201,https://academic-calendar.wlu.ca/course.php?c=74968&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU299,https://academic-calendar.wlu.ca/course.php?c=74969&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU300,https://academic-calendar.wlu.ca/course.php?c=74963&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU350,https://academic-calendar.wlu.ca/course.php?c=74972&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU399,https://academic-calendar.wlu.ca/course.php?c=74970&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU400,https://academic-calendar.wlu.ca/course.php?c=74974&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU401,https://academic-calendar.wlu.ca/course.php?c=74964&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Interdisciplinary Course Offerings,UU499,https://academic-calendar.wlu.ca/course.php?c=74962&cal=1&d=3067&s=1150&y=92
Faculty of Arts,Anthropology Program,AN100,https://academic-calendar.wlu.ca/course.php?c=75319&cal=1&d=3074&s=1151&y=92
Faculty of Arts,Anthropology Program,AN110,https://academic-calendar.wlu.ca/course.php?c=75361&cal=1&d=3074&s=1151&y=92
Faculty of Arts,Anthropology Program,AN120,https://academic-calendar.wlu.ca/course.php?c=75362&cal=1&d=3074&s=1151&y=92
Faculty of Arts,Anthropology Program,AN200,https://academic-calendar.wlu.ca/course.php?c=75320&cal=1&d=3074&s=1151&y=92
Faculty of Arts,Anthropology Program,AN201,https://academic-calendar.wlu.ca/course.php?c=75321&cal=1&d=3074&s=1151&y=92
Faculty of Arts,Anthropology Program,AN202,https://academic-calendar.wlu.ca/course.php?c=75350&cal=1&d=3074&s=1151&y=92
Faculty of Arts,Anthropology Program,AN210,https://academic-calendar.wlu.ca/course.php?c=75365&cal=1&d=3074&s=1151&y=92
