faculty_name,department_name,department_url
Faculty of Arts,Interdisciplinary Course Offerings,https://academic-calendar.wlu.ca/department.php?cal=1&d=3067&s=1150&y=92
Faculty of Arts,General BA without Designation,https://academic-calendar.wlu.ca/department.php?cal=1&d=3091&s=1151&y=92
Faculty of Arts,Ancient Studies,https://academic-calendar.wlu.ca/department.php?cal=1&d=3101&s=1151&y=92
Faculty of Arts,Anthropology Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3074&s=1151&y=92
Faculty of Arts,Arabic (Lang/Lit),https://academic-calendar.wlu.ca/department.php?cal=1&d=3103&s=1151&y=92
Faculty of Arts,Archaeology and Heritage Studies,https://academic-calendar.wlu.ca/department.php?cal=1&d=3076&s=1151&y=92
Faculty of Arts,Communication Studies,https://academic-calendar.wlu.ca/department.php?cal=1&d=3077&s=1151&y=92
Faculty of Arts,Community Engagement Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3095&s=1151&y=92
Faculty of Arts,Criminology Minor (Faculty of Human and Social Sciences),https://academic-calendar.wlu.ca/department.php?cal=1&d=3097&s=1151&y=92
Faculty of Arts,Cultural Studies Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3078&s=1151&y=92
Faculty of Arts,Digital Humanities Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3098&s=1151&y=92
Faculty of Arts,English,https://academic-calendar.wlu.ca/department.php?cal=1&d=3079&s=1151&y=92
Faculty of Arts,Faculty of Arts (Interdisciplinary),https://academic-calendar.wlu.ca/department.php?cal=1&d=3093&s=1151&y=92
Faculty of Arts,Film Studies,https://academic-calendar.wlu.ca/department.php?cal=1&d=3080&s=1151&y=92
Faculty of Arts,French (Lang/Lit),https://academic-calendar.wlu.ca/department.php?cal=1&d=3104&s=1151&y=92
Faculty of Arts,German (Lang/Lit),https://academic-calendar.wlu.ca/department.php?cal=1&d=3105&s=1151&y=92
Faculty of Arts,Global Studies,https://academic-calendar.wlu.ca/department.php?cal=1&d=3083&s=1151&y=92
Faculty of Arts,History,https://academic-calendar.wlu.ca/department.php?cal=1&d=3084&s=1151&y=92
Faculty of Arts,"History, Philosophy and Ethics of Science Program",https://academic-calendar.wlu.ca/department.php?cal=1&d=3085&s=1151&y=92
Faculty of Arts,Indigenous Studies Minor (Faculty of Liberal Arts),https://academic-calendar.wlu.ca/department.php?cal=1&d=3109&s=1151&y=92
Faculty of Arts,Intercultural Understanding Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3102&s=1151&y=92
Faculty of Arts,International Education Studies,https://academic-calendar.wlu.ca/department.php?cal=1&d=3107&s=1151&y=92
Faculty of Arts,International Policy Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3100&s=1151&y=92
Faculty of Arts,Italian (Lang/Lit),https://academic-calendar.wlu.ca/department.php?cal=1&d=3106&s=1151&y=92
Faculty of Arts,Languages and Literatures,https://academic-calendar.wlu.ca/department.php?cal=1&d=3087&s=1151&y=92
Faculty of Arts,Leadership (Faculty of Human Social Sciences),https://academic-calendar.wlu.ca/department.php?cal=1&d=3108&s=1151&y=92
Faculty of Arts,Legal Studies Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3094&s=1151&y=92
Faculty of Arts,Management Option (LSBE),https://academic-calendar.wlu.ca/department.php?cal=1&d=3089&s=1151&y=92
Faculty of Arts,Medieval and Medievalism Studies Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3088&s=1151&y=92
Faculty of Arts,Multidisciplinary Studies,https://academic-calendar.wlu.ca/department.php?cal=1&d=3196&s=1151&y=92
Faculty of Arts,Muslim Studies Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3092&s=1151&y=92
Faculty of Arts,North American Studies Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3090&s=1151&y=92
Faculty of Arts,Philosophy,https://academic-calendar.wlu.ca/department.php?cal=1&d=3068&s=1151&y=92
Faculty of Arts,Political Science,https://academic-calendar.wlu.ca/department.php?cal=1&d=3069&s=1151&y=92
Faculty of Arts,Religion and Culture,https://academic-calendar.wlu.ca/department.php?cal=1&d=3070&s=1151&y=92
Faculty of Arts,Social Entrepreneurship Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3096&s=1151&y=92
Faculty of Arts,Sociology,https://academic-calendar.wlu.ca/department.php?cal=1&d=3071&s=1151&y=92
Faculty of Arts,Spanish (Lang/Lit),https://academic-calendar.wlu.ca/department.php?cal=1&d=3072&s=1151&y=92
Faculty of Arts,Sussex Law,https://academic-calendar.wlu.ca/department.php?cal=1&d=3099&s=1151&y=92
Faculty of Arts,User Experience Design Minor (Faculty of Liberal Arts),https://academic-calendar.wlu.ca/department.php?cal=1&d=3110&s=1151&y=92
Faculty of Arts,Women and Gender Studies Program,https://academic-calendar.wlu.ca/department.php?cal=1&d=3073&s=1151&y=92
Faculty of Education,Bachelor of Education,https://academic-calendar.wlu.ca/department.php?cal=1&d=3177&s=1161&y=92
Faculty of Education,Education Minor,https://academic-calendar.wlu.ca/department.php?cal=1&d=3178&s=1161&y=92
Faculty of Education,Honours BA International Education Studies (Faculty of Arts),https://academic-calendar.wlu.ca/department.php?cal=1&d=3179&s=1161&y=92
Faculty of Education,Teaching Option,https://academic-calendar.wlu.ca/department.php?cal=1&d=3180&s=1161&y=92
