program_name,program_url
All Honours BA Economics Program Requirements,https://academic-calendar.wlu.ca/program.php?cal=1&d=3156&p=7249&s=1154&y=92
Ancient Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3101&p=7051&s=1151&y=92
Anthropology Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3074&p=6980&s=1151&y=92
Applied Developmental Psychology Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3115&p=7102&s=1152&y=92
Applied Developmental Psychology Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3115&p=7103&s=1152&y=92
Applied Mathematics Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3121&p=7160&s=1152&y=92
Applied Mathematics Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3120&p=7153&s=1152&y=92
Applied Social Research Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3071&p=6972&s=1151&y=92
Arabic Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3103&p=7054&s=1151&y=92
Archaeology and Heritage Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3076&p=6984&s=1151&y=92
BSc Psychology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3185&p=7301&s=1165&y=92
BSc and BA Biology with Concentrations,https://academic-calendar.wlu.ca/program.php?cal=1&d=3116&p=7114&s=1152&y=92
Bachelor of Music Therapy,https://academic-calendar.wlu.ca/program.php?cal=1&d=3163&p=7361&s=1155&y=92
Bachelor of Music or Bachelor of Music Therapy with Management Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3169&p=7267&s=1155&y=92
Biology Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3116&p=7111&s=1152&y=92
Business Technology Management Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3158&p=7261&s=1154&y=92
Canadian Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3090&p=7037&s=1151&y=92
Canadian Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3069&p=6959&s=1151&y=92
Care and Counselling Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3181&p=7275&s=1164&y=92
Certificate in Criminology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3183&p=7290&s=1165&y=92
Certificate in Data Analytics,https://academic-calendar.wlu.ca/program.php?cal=1&d=3133&p=7173&s=1152&y=92
Certificate in Digital Media Production,https://academic-calendar.wlu.ca/program.php?cal=1&d=3139&p=7194&s=1153&y=92
Certificate in Digital Media Skills I,https://academic-calendar.wlu.ca/program.php?cal=1&d=3139&p=7199&s=1153&y=92
Certificate in Digital Media Skills II,https://academic-calendar.wlu.ca/program.php?cal=1&d=3139&p=7200&s=1153&y=92
Certificate in Geomatics,https://academic-calendar.wlu.ca/program.php?cal=1&d=3112&p=7086&s=1152&y=92
Certificate in Global Crime and Justice,https://academic-calendar.wlu.ca/program.php?cal=1&d=3192&p=7321&s=1165&y=92
