program_name,program_url
Honours Bachelor of Arts,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=2&y=92
Honours Bachelor of Science,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=1&y=92
Honours Bachelor of Arts and Science,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=48&y=92
Honours Combination or Joint (BA),https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=3&y=92
Honours Combination or Joint (BSc),https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=25&y=92
Honours Bachelor of Business Administration,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=28&y=92
Honours Bachelor of Business Technology Management,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=46&y=92
Bachelor of Education,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=38&y=92
Honours Bachelor of Kinesiology,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=53&y=92
Honours Bachelor of Music,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=30&y=92
Honours Bachelor of Music Therapy,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=37&y=92
Honours Bachelor of Social Work,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=49&y=92
Bachelor of Arts,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=50&y=92
Honours Bachelor of Design,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=66&y=92
General BSc without Designation,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=4&y=92
General BA without Designation,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=5&y=92
Diploma in Business Administration,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=32&y=92
Diploma in Chamber Music,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=34&y=92
Diploma in Opera,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=35&y=92
Diploma,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=44&y=92
Option,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=6&y=92
Certificate,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=43&y=92
Minor,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=7&y=92
Concentration,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=62&y=92
Specialization,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=63&y=92
Co-operative Education,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=64&y=92
General Bachelor of Arts,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=79&y=92
General Bachelor of Science,https://academic-calendar.wlu.ca/search.php?cal=1&s_items=departments+programs&s_pdt=80&y=92
